Equipment Name,Serial Number,Manufacturer,Plant Location,Date Manufactured,Date in Service,Date,Maintenance Description,Maintenance Performed By,Validated By,Date of Validation,Next Activity Due On,Temperature (°C),Elongation (%),Energy Consumption (kWh),Pressure (Bar),Vibration (mm/s),Cooling Rate (°C/min),Remarks
Hydraulic Press C,SN-6105,SteelTech,Plant 4,2021-02-24,2024-06-25,2024-09-27 17:37:17,Replaced thermostat,Technician-19,Engineer B,2024-10-11,2025-02-28,1082.46,12.24,1172.39,185.53,4.02,29.66,Further inspection required
Cooling System B,SN-5024,CoolPro,Plant 1,2020-03-25,2023-11-26,2024-06-19 18:42:38,Installed surge protector,Technician-32,Supervisor A,2024-05-02,2025-06-29,1678.5,10.32,914.89,143.61,1.83,65.31,Further inspection required
Conveyor Belt D,SN-4932,CoolPro,Plant 3,2021-09-17,2023-09-23,2024-01-08 07:31:22,Balanced load,Technician-28,Technician C,2024-10-18,2025-04-20,1767.37,9.52,1127.67,187.66,4.37,39.48,Scheduled follow-up maintenance
Conveyor Belt D,SN-9684,CoolPro,Plant 4,2022-12-20,2023-11-28,2024-07-29 17:02:39,Installed surge protector,Technician-14,Technician C,2024-07-11,2025-05-12,1517.47,6.19,791.08,197.59,0.55,59.76,Issue resolved
Conveyor Belt D,SN-2660,ConveyorKing,Plant 4,2022-07-20,2024-04-14,2024-10-17 11:15:42,Balanced load,Technician-45,Engineer B,2024-09-23,2025-05-12,1421.18,11.99,645.05,150.42,3.93,70.47,Scheduled follow-up maintenance
Furnace A,SN-1465,ConveyorKing,Plant 2,2023-08-12,2024-06-03,2024-03-01 06:07:50,Installed surge protector,Technician-40,Engineer B,2024-12-11,2025-05-08,1117.85,11.11,883.7,139.12,2.41,98.31,Scheduled follow-up maintenance
Furnace A,SN-7354,SteelTech,Plant 1,2021-09-10,2024-08-06,2024-06-03 13:21:59,Balanced load,Technician-9,Supervisor A,2024-07-19,2025-03-17,1450.49,9.81,603.9,171.46,3.87,79.38,Operating within normal parameters
Hydraulic Press C,SN-7287,CoolPro,Plant 3,2021-09-05,2024-03-02,2024-09-25 19:35:04,Replaced rollers,Technician-42,Technician C,2024-04-28,2025-04-28,1225.8,9.23,784.06,185.38,1.16,55.88,Further inspection required
Conveyor Belt D,SN-7949,CoolPro,Plant 1,2021-03-30,2024-06-25,2024-02-01 15:19:55,Installed surge protector,Technician-40,Supervisor A,2024-07-18,2025-05-04,1685.06,5.2,1154.92,123.2,1.11,26.23,Scheduled follow-up maintenance
Conveyor Belt D,SN-1676,CoolPro,Plant 1,2021-07-10,2024-02-07,2024-06-26 18:21:03,Replaced seals,Technician-27,Supervisor A,2024-03-10,2025-02-24,1085.93,10.9,899.21,132.07,2.43,30.95,Further inspection required
Furnace A,SN-9660,SteelTech,Plant 4,2020-04-10,2024-07-31,2024-05-08 15:31:35,Replaced seals,Technician-18,Technician C,2024-05-12,2025-04-08,1612.43,7.53,1463.66,94.66,1.78,69.4,Operating within normal parameters
Conveyor Belt D,SN-9257,SteelTech,Plant 4,2019-11-25,2024-01-04,2024-07-01 07:00:13,Installed surge protector,Technician-12,Engineer B,2024-10-30,2025-03-20,1362.2,9.01,883.59,110.15,2.53,45.77,Scheduled follow-up maintenance
Conveyor Belt D,SN-6958,SteelTech,Plant 4,2021-02-26,2024-05-20,2024-07-04 18:44:10,Replaced thermostat,Technician-8,Technician C,2024-04-30,2025-04-21,1542.8,13.39,727.15,151.79,2.48,92.27,Operating within normal parameters
Cooling System B,SN-3275,PressMaster,Plant 2,2022-09-09,2023-12-27,2024-06-09 23:00:26,Installed surge protector,Technician-38,Engineer B,2024-10-17,2025-05-05,1090.78,13.59,1108.55,152.5,4.28,34.16,Issue resolved
Furnace A,SN-3848,CoolPro,Plant 2,2022-01-30,2023-10-23,2024-07-30 02:45:24,Replaced rollers,Technician-6,Supervisor A,2024-06-24,2025-04-27,1771.28,12.82,1160.72,155.45,3.98,43.63,Issue resolved
Hydraulic Press C,SN-8178,SteelTech,Plant 2,2022-05-06,2024-05-07,2024-08-03 10:27:10,Installed surge protector,Technician-40,Technician C,2024-05-27,2025-01-31,1306.49,7.83,991.39,152.91,2.31,88.03,Operating within normal parameters
Furnace A,SN-8173,PressMaster,Plant 4,2023-01-17,2024-05-12,2024-10-22 17:33:06,Cleared cooling channels,Technician-50,Engineer B,2024-03-06,2025-03-23,1028.13,8.93,879.28,150.77,0.52,62.08,Further inspection required
Conveyor Belt D,SN-5599,CoolPro,Plant 4,2023-06-26,2024-05-06,2024-05-19 12:40:15,Replaced rollers,Technician-26,Engineer B,2024-05-06,2025-06-22,1546.66,11.81,718.08,52.73,3.18,42.52,Operating within normal parameters
Cooling System B,SN-5576,PressMaster,Plant 2,2021-02-05,2024-06-25,2024-12-23 06:14:29,Cleared cooling channels,Technician-14,Technician C,2024-10-17,2025-06-20,1413.9,14.73,1191.59,136.45,1.52,76.22,Scheduled follow-up maintenance
Furnace A,SN-6351,ConveyorKing,Plant 4,2021-02-26,2024-07-10,2024-04-06 05:19:04,Replaced rollers,Technician-30,Technician C,2024-09-15,2025-06-28,1731.74,8.25,791.39,149.19,4.46,20.99,Issue resolved
Conveyor Belt D,SN-1164,ConveyorKing,Plant 2,2019-08-18,2023-08-29,2024-12-18 12:57:09,Replaced seals,Technician-45,Engineer B,2024-10-26,2025-04-09,1449.5,5.37,1011.29,122.84,2.95,31.93,Scheduled follow-up maintenance
Furnace A,SN-2218,SteelTech,Plant 3,2020-04-11,2023-11-07,2024-06-21 21:00:40,Installed surge protector,Technician-4,Technician C,2024-01-23,2025-02-21,1041.81,12.24,1037.27,123.6,2.69,88.19,Further inspection required
Furnace A,SN-1651,PressMaster,Plant 1,2023-04-01,2024-09-12,2024-04-02 15:39:37,Replaced rollers,Technician-28,Engineer B,2024-07-27,2025-02-13,1320.55,8.77,997.13,122.21,3.26,34.27,Issue resolved
Furnace A,SN-1562,ConveyorKing,Plant 4,2021-01-19,2024-04-13,2024-05-27 22:33:38,Installed surge protector,Technician-15,Technician C,2024-11-20,2025-03-02,1577.38,7.11,951.26,195.48,3.81,85.24,Scheduled follow-up maintenance
Hydraulic Press C,SN-9988,CoolPro,Plant 2,2022-06-04,2024-06-15,2024-06-10 17:57:18,Replaced rollers,Technician-11,Engineer B,2024-09-15,2025-04-24,1307.13,12.68,999.47,75.76,4.06,62.85,Issue resolved
Cooling System B,SN-2064,SteelTech,Plant 3,2020-12-14,2023-08-27,2024-07-04 20:02:02,Balanced load,Technician-7,Engineer B,2024-05-20,2025-02-17,1701.48,10.56,1332.63,189.3,0.64,57.15,Further inspection required
Hydraulic Press C,SN-4724,SteelTech,Plant 1,2021-04-18,2023-10-25,2024-10-20 08:49:54,Replaced rollers,Technician-37,Engineer B,2024-09-12,2025-03-27,1021.35,13.99,1258.65,73.86,1.88,63.78,Operating within normal parameters
Hydraulic Press C,SN-5195,ConveyorKing,Plant 3,2022-08-27,2023-12-20,2024-04-23 12:32:02,Replaced seals,Technician-36,Engineer B,2024-11-06,2025-06-15,1493.38,8.95,1469.19,94.51,2.94,41.64,Operating within normal parameters
Cooling System B,SN-4099,CoolPro,Plant 4,2023-03-22,2024-09-11,2024-02-25 15:55:56,Cleared cooling channels,Technician-18,Engineer B,2024-10-26,2025-06-25,1042.46,6.97,740.21,164.74,4.45,46.07,Operating within normal parameters
Conveyor Belt D,SN-1548,ConveyorKing,Plant 4,2020-01-17,2024-05-01,2024-10-14 11:50:42,Cleared cooling channels,Technician-44,Supervisor A,2024-04-22,2025-05-19,1674.95,5.58,1175.35,159.87,4.48,93.88,Operating within normal parameters
Cooling System B,SN-6388,ConveyorKing,Plant 2,2022-03-03,2024-07-16,2024-08-15 07:16:29,Replaced seals,Technician-14,Engineer B,2024-10-11,2025-02-23,1249.3,14.46,1154.94,121.24,2.32,83.2,Further inspection required
Conveyor Belt D,SN-8498,PressMaster,Plant 3,2021-02-03,2023-10-11,2024-03-06 11:35:23,Balanced load,Technician-15,Supervisor A,2024-07-18,2025-03-15,1076.72,12.0,1236.8,102.86,0.56,57.98,Further inspection required
Hydraulic Press C,SN-4383,ConveyorKing,Plant 1,2021-11-01,2024-03-18,2024-01-10 16:04:26,Replaced rollers,Technician-47,Technician C,2024-08-02,2025-03-18,1065.86,12.45,641.55,77.05,2.47,35.08,Scheduled follow-up maintenance
Cooling System B,SN-5180,SteelTech,Plant 4,2021-01-17,2023-09-23,2024-12-07 01:14:47,Replaced thermostat,Technician-19,Technician C,2024-04-27,2025-04-18,1332.04,13.95,1095.94,146.6,0.92,57.87,Scheduled follow-up maintenance
Furnace A,SN-1915,PressMaster,Plant 4,2021-08-11,2024-06-21,2024-04-03 13:55:52,Replaced thermostat,Technician-29,Supervisor A,2024-06-04,2025-04-14,1537.03,7.77,1053.51,116.64,2.04,43.14,Scheduled follow-up maintenance
Cooling System B,SN-7406,SteelTech,Plant 4,2022-09-05,2024-08-27,2024-12-06 18:16:38,Replaced thermostat,Technician-13,Supervisor A,2024-01-30,2025-03-20,1091.19,10.33,942.01,73.32,4.35,75.79,Operating within normal parameters
Conveyor Belt D,SN-8599,ConveyorKing,Plant 3,2023-04-18,2024-07-14,2024-10-02 15:49:49,Cleared cooling channels,Technician-21,Supervisor A,2024-06-06,2025-04-28,1480.28,14.47,1424.19,134.64,4.24,80.02,Further inspection required
Conveyor Belt D,SN-9840,PressMaster,Plant 3,2022-03-11,2023-11-04,2024-02-16 05:55:24,Balanced load,Technician-39,Supervisor A,2024-03-21,2025-05-31,1773.14,9.82,1225.43,190.39,3.88,88.24,Further inspection required
Cooling System B,SN-5237,SteelTech,Plant 4,2023-06-05,2024-07-15,2024-07-21 18:21:58,Replaced thermostat,Technician-25,Supervisor A,2024-02-09,2025-06-12,1692.65,5.26,1214.51,158.89,1.37,24.43,Scheduled follow-up maintenance
Hydraulic Press C,SN-9313,PressMaster,Plant 4,2022-06-17,2024-02-11,2024-08-02 15:01:11,Replaced seals,Technician-11,Engineer B,2024-08-08,2025-02-20,1067.0,7.33,1297.07,152.19,1.51,24.82,Scheduled follow-up maintenance
Cooling System B,SN-7508,ConveyorKing,Plant 3,2023-04-08,2024-08-19,2024-01-30 21:56:13,Replaced thermostat,Technician-8,Supervisor A,2024-12-18,2025-02-02,1385.61,11.28,1342.91,157.54,2.71,70.54,Operating within normal parameters
Furnace A,SN-3641,CoolPro,Plant 3,2023-04-01,2024-05-02,2024-12-07 01:48:23,Cleared cooling channels,Technician-4,Supervisor A,2024-09-23,2025-06-04,1253.59,11.35,1467.01,105.54,0.65,72.05,Further inspection required
Conveyor Belt D,SN-3750,SteelTech,Plant 2,2022-11-08,2024-02-05,2024-12-01 18:17:21,Replaced rollers,Technician-32,Engineer B,2024-07-05,2025-06-26,1057.25,11.56,526.05,198.2,0.87,28.38,Operating within normal parameters
Cooling System B,SN-4908,ConveyorKing,Plant 4,2021-08-16,2023-12-24,2024-04-10 09:34:25,Balanced load,Technician-16,Engineer B,2024-08-04,2025-03-05,1201.2,8.83,593.31,104.56,3.74,66.79,Scheduled follow-up maintenance
Hydraulic Press C,SN-5258,CoolPro,Plant 4,2021-12-24,2024-07-25,2024-02-12 00:22:39,Replaced rollers,Technician-10,Engineer B,2024-07-18,2025-04-21,1399.19,6.84,857.38,159.82,4.86,95.95,Further inspection required
Cooling System B,SN-3381,PressMaster,Plant 2,2023-07-24,2024-08-14,2024-09-13 04:08:04,Balanced load,Technician-42,Engineer B,2024-10-19,2025-06-03,1371.85,14.03,586.01,68.91,1.8,36.42,Further inspection required
Conveyor Belt D,SN-1666,CoolPro,Plant 2,2020-11-22,2023-09-11,2024-08-18 21:28:18,Installed surge protector,Technician-42,Engineer B,2024-01-19,2025-06-04,1518.92,11.0,1449.32,128.21,2.26,58.68,Further inspection required
Furnace A,SN-2467,ConveyorKing,Plant 1,2022-07-22,2024-01-20,2024-08-10 19:54:12,Cleared cooling channels,Technician-22,Supervisor A,2024-07-16,2025-04-21,1176.5,6.62,1138.7,129.87,2.36,58.83,Operating within normal parameters
Furnace A,SN-3373,SteelTech,Plant 3,2021-04-09,2024-03-27,2024-02-29 13:50:18,Replaced seals,Technician-4,Technician C,2024-06-28,2025-03-06,1462.29,9.75,1427.9,84.47,2.52,89.31,Further inspection required
Conveyor Belt D,SN-3588,SteelTech,Plant 1,2022-08-20,2024-04-13,2024-11-02 03:52:26,Installed surge protector,Technician-42,Technician C,2024-11-21,2025-06-12,1132.01,14.63,919.69,190.3,2.4,30.57,Issue resolved
Hydraulic Press C,SN-4601,ConveyorKing,Plant 2,2021-07-01,2024-07-18,2024-07-26 04:33:01,Replaced seals,Technician-17,Supervisor A,2024-08-06,2025-03-22,1206.32,10.1,942.75,190.21,3.11,84.74,Operating within normal parameters
Conveyor Belt D,SN-1843,SteelTech,Plant 4,2022-08-07,2023-09-26,2024-02-17 09:34:49,Cleared cooling channels,Technician-13,Supervisor A,2024-12-28,2025-05-16,1132.79,14.95,629.03,164.44,2.06,26.39,Issue resolved
Conveyor Belt D,SN-5457,PressMaster,Plant 3,2022-11-29,2023-08-25,2024-08-04 22:20:06,Balanced load,Technician-37,Technician C,2024-03-23,2025-04-28,1194.91,10.78,515.64,191.03,1.62,95.33,Operating within normal parameters
Hydraulic Press C,SN-8262,CoolPro,Plant 3,2019-09-09,2024-07-15,2024-07-25 20:28:57,Replaced rollers,Technician-36,Technician C,2024-02-19,2025-06-23,1534.35,12.39,816.5,102.0,4.67,34.49,Further inspection required
Conveyor Belt D,SN-4443,CoolPro,Plant 4,2022-06-14,2024-08-19,2024-06-30 03:52:56,Balanced load,Technician-8,Engineer B,2024-08-05,2025-05-29,1721.65,12.41,1197.59,124.97,2.85,28.72,Operating within normal parameters
Cooling System B,SN-4840,ConveyorKing,Plant 3,2022-01-07,2024-01-13,2024-12-15 13:10:08,Installed surge protector,Technician-1,Engineer B,2024-05-18,2025-04-29,1088.45,6.78,1414.98,178.78,2.63,88.75,Operating within normal parameters
Conveyor Belt D,SN-3622,ConveyorKing,Plant 4,2022-03-11,2024-03-09,2024-04-24 23:06:07,Cleared cooling channels,Technician-25,Engineer B,2024-09-17,2025-02-14,1170.19,10.49,1403.97,130.19,2.88,89.47,Scheduled follow-up maintenance
Hydraulic Press C,SN-7196,PressMaster,Plant 4,2021-08-04,2024-01-19,2024-03-05 07:22:38,Cleared cooling channels,Technician-2,Engineer B,2024-01-13,2025-02-12,1674.47,14.04,519.69,120.74,2.25,40.05,Operating within normal parameters
Hydraulic Press C,SN-6345,SteelTech,Plant 3,2019-11-14,2024-04-03,2024-11-10 19:16:02,Cleared cooling channels,Technician-10,Technician C,2024-06-16,2025-05-03,1267.05,11.48,627.09,135.59,2.81,62.51,Issue resolved
Cooling System B,SN-1053,CoolPro,Plant 2,2022-03-17,2023-09-29,2024-10-14 00:51:22,Replaced rollers,Technician-29,Engineer B,2024-05-27,2025-06-27,1334.91,10.16,1299.3,169.44,2.16,92.83,Scheduled follow-up maintenance
Cooling System B,SN-9331,SteelTech,Plant 2,2023-01-09,2024-08-31,2024-09-03 02:44:42,Replaced seals,Technician-23,Engineer B,2024-06-25,2025-05-07,1083.63,8.98,646.18,182.98,0.83,42.31,Issue resolved
Cooling System B,SN-8568,SteelTech,Plant 1,2022-09-05,2024-04-21,2024-01-29 05:12:27,Replaced thermostat,Technician-10,Technician C,2024-06-21,2025-03-13,1595.0,9.54,1381.56,76.21,1.61,25.75,Issue resolved
Conveyor Belt D,SN-5895,CoolPro,Plant 3,2022-04-23,2023-10-14,2024-01-25 21:41:19,Replaced rollers,Technician-44,Supervisor A,2024-08-17,2025-02-12,1311.63,11.4,1436.34,135.12,3.56,25.23,Scheduled follow-up maintenance
Cooling System B,SN-4019,ConveyorKing,Plant 4,2020-04-26,2023-11-23,2024-08-06 18:47:55,Replaced seals,Technician-7,Engineer B,2024-10-07,2025-05-14,1213.82,9.08,1417.58,195.13,2.12,72.05,Scheduled follow-up maintenance
Cooling System B,SN-7919,ConveyorKing,Plant 1,2021-01-21,2024-08-15,2024-06-28 08:09:22,Replaced rollers,Technician-38,Engineer B,2024-09-21,2025-06-14,1163.29,8.8,887.17,141.58,3.33,62.92,Operating within normal parameters
Furnace A,SN-6570,CoolPro,Plant 2,2021-03-19,2024-07-06,2024-06-21 01:47:21,Replaced thermostat,Technician-6,Technician C,2024-12-16,2025-04-29,1772.25,10.77,929.6,56.31,1.3,78.34,Operating within normal parameters
Conveyor Belt D,SN-6029,CoolPro,Plant 3,2019-08-21,2024-01-22,2024-07-20 18:30:06,Cleared cooling channels,Technician-25,Technician C,2024-06-01,2025-06-14,1237.66,10.52,1094.83,135.71,4.89,77.75,Operating within normal parameters
Hydraulic Press C,SN-3784,PressMaster,Plant 1,2022-06-23,2024-05-26,2024-03-17 10:15:22,Installed surge protector,Technician-32,Technician C,2024-01-23,2025-05-30,1147.94,14.54,1169.85,68.7,3.12,89.95,Operating within normal parameters
Hydraulic Press C,SN-7704,PressMaster,Plant 3,2020-12-14,2023-09-26,2024-05-20 13:28:25,Replaced rollers,Technician-32,Supervisor A,2024-07-17,2025-06-27,1744.72,13.17,675.92,116.98,2.35,90.81,Scheduled follow-up maintenance
Hydraulic Press C,SN-1850,CoolPro,Plant 3,2023-03-04,2024-08-10,2024-05-18 05:20:42,Cleared cooling channels,Technician-20,Technician C,2024-11-27,2025-03-10,1665.83,14.21,1130.12,187.75,1.78,36.47,Scheduled follow-up maintenance
Conveyor Belt D,SN-6653,ConveyorKing,Plant 1,2021-10-09,2024-06-07,2024-12-28 18:24:20,Installed surge protector,Technician-6,Technician C,2024-08-16,2025-06-21,1318.51,12.47,585.34,139.74,4.42,28.38,Scheduled follow-up maintenance
Furnace A,SN-3717,PressMaster,Plant 4,2021-11-27,2024-07-08,2024-07-19 19:47:17,Balanced load,Technician-42,Supervisor A,2024-01-25,2025-06-10,1344.28,11.68,1154.28,88.84,2.67,20.76,Further inspection required
Cooling System B,SN-3790,CoolPro,Plant 2,2021-11-28,2023-11-02,2024-04-04 05:36:26,Replaced seals,Technician-34,Technician C,2024-08-31,2025-06-09,1655.8,14.48,1141.19,188.94,3.34,78.35,Further inspection required
Cooling System B,SN-5286,SteelTech,Plant 2,2021-01-03,2024-07-04,2024-09-01 04:53:24,Cleared cooling channels,Technician-2,Technician C,2024-08-15,2025-04-14,1598.12,6.09,795.59,78.26,0.78,80.81,Issue resolved
Furnace A,SN-9490,SteelTech,Plant 4,2021-11-20,2024-04-11,2024-06-24 00:32:31,Replaced seals,Technician-37,Technician C,2024-04-02,2025-05-12,1579.58,10.9,1053.48,173.48,4.99,28.49,Scheduled follow-up maintenance
Hydraulic Press C,SN-6384,PressMaster,Plant 3,2020-01-25,2024-02-19,2024-07-12 12:40:14,Replaced rollers,Technician-47,Technician C,2024-04-08,2025-06-26,1005.05,11.65,910.61,128.8,2.22,92.87,Further inspection required
Hydraulic Press C,SN-8884,PressMaster,Plant 1,2020-08-29,2024-01-23,2024-04-12 09:58:10,Balanced load,Technician-43,Supervisor A,2024-10-30,2025-05-26,1732.33,12.19,1191.09,178.18,2.44,60.0,Operating within normal parameters
Furnace A,SN-9721,SteelTech,Plant 3,2022-07-30,2023-09-27,2024-07-05 22:17:08,Cleared cooling channels,Technician-23,Engineer B,2024-02-12,2025-05-26,1480.82,10.91,1414.99,114.66,4.46,87.32,Issue resolved
Cooling System B,SN-4946,CoolPro,Plant 4,2020-12-15,2023-12-26,2024-10-24 03:38:16,Replaced seals,Technician-3,Technician C,2024-04-21,2025-03-16,1047.71,7.33,582.06,197.19,2.98,67.01,Further inspection required
Furnace A,SN-3075,ConveyorKing,Plant 4,2022-04-26,2023-12-14,2024-04-14 12:39:06,Balanced load,Technician-30,Technician C,2024-04-12,2025-06-21,1084.66,6.49,611.49,78.51,1.54,92.37,Operating within normal parameters
Hydraulic Press C,SN-4575,CoolPro,Plant 2,2023-06-23,2024-07-05,2024-07-18 08:27:32,Cleared cooling channels,Technician-40,Supervisor A,2024-05-08,2025-02-25,1543.63,7.83,1187.69,89.7,4.05,83.34,Issue resolved
Conveyor Belt D,SN-6000,CoolPro,Plant 1,2023-04-26,2024-07-04,2024-04-15 01:12:29,Balanced load,Technician-41,Technician C,2024-05-22,2025-03-07,1683.22,6.51,869.78,81.97,2.21,44.84,Further inspection required
Furnace A,SN-1673,ConveyorKing,Plant 1,2021-01-17,2023-12-19,2024-02-16 13:22:38,Replaced thermostat,Technician-15,Supervisor A,2024-06-27,2025-03-02,1742.88,13.61,1380.0,75.55,4.99,49.66,Operating within normal parameters
Conveyor Belt D,SN-1118,ConveyorKing,Plant 2,2022-07-15,2024-01-13,2024-06-12 22:35:07,Replaced seals,Technician-31,Technician C,2024-05-29,2025-04-22,1647.26,8.47,1158.21,108.04,3.02,89.75,Further inspection required
Conveyor Belt D,SN-9193,PressMaster,Plant 3,2020-10-14,2024-06-05,2024-11-30 14:33:00,Replaced thermostat,Technician-27,Engineer B,2024-02-24,2025-02-16,1734.46,7.12,1254.19,105.97,3.3,81.69,Operating within normal parameters
Furnace A,SN-4055,SteelTech,Plant 3,2022-01-28,2024-07-30,2024-04-22 22:47:32,Installed surge protector,Technician-19,Engineer B,2024-11-17,2025-06-27,1072.01,10.89,757.63,62.18,2.04,90.46,Scheduled follow-up maintenance
Furnace A,SN-4487,CoolPro,Plant 4,2020-07-12,2024-02-21,2024-03-16 02:53:29,Installed surge protector,Technician-38,Supervisor A,2024-04-26,2025-04-04,1744.73,14.28,1474.48,54.48,0.97,77.38,Issue resolved
Cooling System B,SN-5922,SteelTech,Plant 4,2020-09-19,2024-06-30,2024-11-10 04:48:35,Balanced load,Technician-38,Engineer B,2024-12-31,2025-03-09,1595.75,10.16,1347.13,102.68,4.49,62.4,Further inspection required
